start	end	text
280	5900	Hola, soy Andrea y estas son velas 100% artesanales, yo las realizo.
6280	12360	Si te gustaría emprender con este maravilloso mundo y así generar tus propios ingresos desde casa,
12800	14600	tengo la solución para ti.
15020	22900	Tengo un curso 100% online donde aprenderás a crear todos estos distintos tipos de velas que estás viendo en este momento.
23280	28420	También te enseñaré a manejar todos los distintos tipos de ceras que vas a encontrar en el mercado.
28420	32220	Ejemplos, serás de soja, serás de palma, serás de coco y muchas más.
32720	42480	Y no solo eso, vas a recibir completamente gratis unos bonos para que así puedas ampliar más tu conocimiento y generar más ingresos.
43660	50260	Adicionalmente, vas a tener derecho al curso para toda la vida y derecho a todas las actualizaciones sin costo alguno.
50260	58260	Vas a tener un acompañamiento por un grupo exclusivo para alumnos donde te ayudaré si tienes dudas, preguntas o de pronto algún inconveniente.
58420	61060	En todo tu proceso de aprendizaje.
61560	67600	Si estás interesado en inscribirte en este maravilloso curso, tengo una super noticia para ti.
67880	73280	Como estamos de lanzamiento, estamos con un descuento del 70% de descuento.
73280	76280	¿Qué esperas para iniciar con este bello emprendimiento?
77240	82280	El cual aprenderás desde tu casa y aprenderás a generar tus propios ingresos.
82880	84060	Nos vemos dentro.
